Month,Week Of,Month,Mon,Tue,Wed,Thu,Fri
1997 Jan,1997 Jan- 6 to Jan-10,1997 Jan,,3.82,3.8,3.61,3.92
1997 Jan,1997 Jan-13 to Jan-17,1997 Jan,4,4.01,4.34,4.71,3.91
1997 Jan,1997 Jan-20 to Jan-24,1997 Jan,3.26,2.99,3.05,2.96,2.62
1997 Jan,1997 Jan-27 to Jan-31,1997 Jan,2.98,3.05,2.91,2.86,2.77
1997 Feb,1997 Feb- 3 to Feb- 7,1997 Feb,2.49,2.59,2.65,2.51,2.39
1997 Feb,1997 Feb-10 to Feb-14,1997 Feb,2.42,2.34,2.42,2.22,2.12
1997 Feb,1997 Feb-17 to Feb-21,1997 Feb,,1.84,1.95,1.92,1.92
1997 Feb,1997 Feb-24 to Feb-28,1997 Feb,1.92,1.77,1.81,1.8,1.78
1997 Mar,1997 Mar- 3 to Mar- 7,1997 Mar,1.8,1.87,1.92,1.82,1.89
1997 Mar,1997 Mar-10 to Mar-14,1997 Mar,1.95,1.92,1.96,1.98,1.97
1997 Mar,1997 Mar-17 to Mar-21,1997 Mar,2.01,1.91,1.88,1.88,1.87
1997 Mar,1997 Mar-24 to Mar-28,1997 Mar,1.8,1.85,1.85,1.84,
1997 Mar,1997 Mar-31 to Apr- 4,1997 Mar,1.84,1.95,1.85,1.87,1.91
1997 Apr,1997 Apr- 7 to Apr-11,1997 Apr,1.99,2.01,1.96,1.97,1.98
1997 Apr,1997 Apr-14 to Apr-18,1997 Apr,2,2,2.02,2.08,2.1
1997 Apr,1997 Apr-21 to Apr-25,1997 Apr,2.09,2.1,2.22,2.11,2.16
1997 Apr,1997 Apr-28 to May- 2,1997 Apr,2.1,2.09,2.16,2.19,2.21
1997 May,1997 May- 5 to May- 9,1997 May,2.23,2.25,2.34,2.33,2.3
1997 May,1997 May-12 to May-16,1997 May,2.27,2.18,2.22,2.25,2.19
1997 May,1997 May-19 to May-23,1997 May,2.25,2.22,2.21,2.22,2.2
1997 May,1997 May-26 to May-30,1997 May,,2.29,2.34,2.29,2.23
1997 Jun,1997 Jun- 2 to Jun- 6,1997 Jun,2.2,2.11,2.19,2.18,2.19
1997 Jun,1997 Jun- 9 to Jun-13,1997 Jun,2.19,2.16,2.16,2.14,2.15
1997 Jun,1997 Jun-16 to Jun-20,1997 Jun,2.2,2.2,2.22,2.23,2.25
1997 Jun,1997 Jun-23 to Jun-27,1997 Jun,2.29,2.32,2.32,2.23,2.17
1997 Jun,1997 Jun-30 to Jul- 4,1997 Jun,2.17,2.16,2.14,2.11,
1997 Jul,1997 Jul- 7 to Jul-11,1997 Jul,2.13,2.13,2.16,2.15,2.16
1997 Jul,1997 Jul-14 to Jul-18,1997 Jul,2.18,2.21,2.24,2.29,2.26
1997 Jul,1997 Jul-21 to Jul-25,1997 Jul,2.17,2.18,2.2,2.24,2.22
1997 Jul,1997 Jul-28 to Aug- 1,1997 Jul,2.19,2.23,2.19,2.23,2.24
1997 Aug,1997 Aug- 4 to Aug- 8,1997 Aug,2.26,2.33,2.38,2.5,2.38
1997 Aug,1997 Aug-11 to Aug-15,1997 Aug,2.53,2.56,2.45,2.57,2.53
1997 Aug,1997 Aug-18 to Aug-22,1997 Aug,2.56,2.61,2.62,2.45,2.47
1997 Aug,1997 Aug-25 to Aug-29,1997 Aug,2.53,2.58,2.51,2.57,2.69
1997 Sep,1997 Sep- 1 to Sep- 5,1997 Sep,,2.82,2.86,2.73,2.67
1997 Sep,1997 Sep- 8 to Sep-12,1997 Sep,2.67,2.74,2.74,2.78,2.86
1997 Sep,1997 Sep-15 to Sep-19,1997 Sep,2.88,2.83,2.75,2.84,2.94
1997 Sep,1997 Sep-22 to Sep-26,1997 Sep,2.98,3.09,3.03,3.05,3.24
1997 Sep,1997 Sep-29 to Oct- 3,1997 Sep,3.09,2.96,3.08,2.97,2.91
1997 Oct,1997 Oct- 6 to Oct-10,1997 Oct,2.96,2.81,2.8,2.8,2.78
1997 Oct,1997 Oct-13 to Oct-17,1997 Oct,2.87,2.84,2.84,2.94,2.97
1997 Oct,1997 Oct-20 to Oct-24,1997 Oct,3.05,3.13,3.24,3.34,3.29
1997 Oct,1997 Oct-27 to Oct-31,1997 Oct,3.46,3.61,3.45,3.34,3.22
1997 Nov,1997 Nov- 3 to Nov- 7,1997 Nov,3.23,3.15,3.18,3.2,3.05
1997 Nov,1997 Nov-10 to Nov-14,1997 Nov,3.2,3.26,3.28,3.27,3.25
1997 Nov,1997 Nov-17 to Nov-21,1997 Nov,3.1,3,2.97,2.77,2.59
1997 Nov,1997 Nov-24 to Nov-28,1997 Nov,2.63,2.51,2.5,,
1997 Dec,1997 Dec- 1 to Dec- 5,1997 Dec,2.52,2.61,2.53,2.48,2.42
1997 Dec,1997 Dec- 8 to Dec-12,1997 Dec,2.3,2.35,2.45,2.3,2.3
1997 Dec,1997 Dec-15 to Dec-19,1997 Dec,2.25,2.29,2.38,2.37,2.39
1997 Dec,1997 Dec-22 to Dec-26,1997 Dec,2.36,2.24,2.06,,2.18
1997 Dec,1997 Dec-29 to Jan- 2,1997 Dec,2.33,2.27,2.27,,2.16
1998 Jan,1998 Jan- 5 to Jan- 9,1998 Jan,2.05,2.16,2.13,2.11,2.09
1998 Jan,1998 Jan-12 to Jan-16,1998 Jan,2.01,2.03,2.05,2.07,2.11
1998 Jan,1998 Jan-19 to Jan-23,1998 Jan,,2.12,2.09,2.1,2.14
1998 Jan,1998 Jan-26 to Jan-30,1998 Jan,2.09,2.06,2.09,2.07,2.09
1998 Feb,1998 Feb- 2 to Feb- 6,1998 Feb,2.23,2.27,2.23,2.31,2.35
1998 Feb,1998 Feb- 9 to Feb-13,1998 Feb,2.25,2.18,2.21,2.2,2.22
1998 Feb,1998 Feb-16 to Feb-20,1998 Feb,,2.18,2.19,2.22,2.2
1998 Feb,1998 Feb-23 to Feb-27,1998 Feb,2.2,2.19,2.21,2.28,2.23
1998 Mar,1998 Mar- 2 to Mar- 6,1998 Mar,2.26,2.24,2.19,2.12,2.1
1998 Mar,1998 Mar- 9 to Mar-13,1998 Mar,2.17,2.25,2.25,2.23,2.21
1998 Mar,1998 Mar-16 to Mar-20,1998 Mar,2.2,2.2,2.21,2.25,2.28
1998 Mar,1998 Mar-23 to Mar-27,1998 Mar,2.33,2.29,2.33,2.29,2.26
1998 Mar,1998 Mar-30 to Apr- 3,1998 Mar,2.32,2.34,2.45,2.43,2.51
1998 Apr,1998 Apr- 6 to Apr-10,1998 Apr,2.51,2.51,2.65,2.61,
1998 Apr,1998 Apr-13 to Apr-17,1998 Apr,2.52,2.42,2.48,2.48,2.4
1998 Apr,1998 Apr-20 to Apr-24,1998 Apr,2.4,2.46,2.46,2.35,2.31
1998 Apr,1998 Apr-27 to May- 1,1998 Apr,2.29,2.27,2.29,2.18,2.11
1998 May,1998 May- 4 to May- 8,1998 May,2.1,2.19,2.12,2.16,2.11
1998 May,1998 May-11 to May-15,1998 May,2.19,2.23,2.24,2.18,2.18
1998 May,1998 May-18 to May-22,1998 May,2.19,2.17,2.18,2.11,2.02
1998 May,1998 May-25 to May-29,1998 May,,2.1,2.1,2.04,2.1
1998 Jun,1998 Jun- 1 to Jun- 5,1998 Jun,2.1,2.2,2.13,2.04,2.01
1998 Jun,1998 Jun- 8 to Jun-12,1998 Jun,2,2.01,1.98,1.99,2.01
1998 Jun,1998 Jun-15 to Jun-19,1998 Jun,2.08,2.1,2.05,2.14,2.2
1998 Jun,1998 Jun-22 to Jun-26,1998 Jun,2.35,2.35,2.4,2.39,2.4
1998 Jun,1998 Jun-29 to Jul- 3,1998 Jun,2.36,2.39,2.46,2.36,
1998 Jul,1998 Jul- 6 to Jul-10,1998 Jul,2.38,2.35,2.39,2.38,2.32
1998 Jul,1998 Jul-13 to Jul-17,1998 Jul,2.3,2.23,2.21,2.15,2.15
1998 Jul,1998 Jul-20 to Jul-24,1998 Jul,2.18,2.09,2,2,1.97
1998 Jul,1998 Jul-27 to Jul-31,1998 Jul,2,1.97,1.99,1.95,1.85
1998 Aug,1998 Aug- 3 to Aug- 7,1998 Aug,1.84,1.9,1.91,1.85,1.82
1998 Aug,1998 Aug-10 to Aug-14,1998 Aug,1.87,1.87,1.85,1.83,1.83
1998 Aug,1998 Aug-17 to Aug-21,1998 Aug,1.93,1.94,1.96,1.9,1.93
1998 Aug,1998 Aug-24 to Aug-28,1998 Aug,1.9,1.89,1.83,1.76,1.66
1998 Aug,1998 Aug-31 to Sep- 4,1998 Aug,1.61,1.84,1.72,1.71,1.71
1998 Sep,1998 Sep- 7 to Sep-11,1998 Sep,,1.81,1.78,1.88,1.86
1998 Sep,1998 Sep-14 to Sep-18,1998 Sep,1.86,1.94,2.15,2.12,2.27
1998 Sep,1998 Sep-21 to Sep-25,1998 Sep,2.18,2.29,2.19,2.17,2.38
1998 Sep,1998 Sep-28 to Oct- 2,1998 Sep,2.23,2.06,2.22,2.33,2.14
1998 Oct,1998 Oct- 5 to Oct- 9,1998 Oct,2.09,2.01,2.05,2.02,1.8
1998 Oct,1998 Oct-12 to Oct-16,1998 Oct,1.75,1.7,1.8,1.75,1.64
1998 Oct,1998 Oct-19 to Oct-23,1998 Oct,1.74,1.95,2.04,1.95,1.84
1998 Oct,1998 Oct-26 to Oct-30,1998 Oct,1.92,1.85,1.7,2,2
1998 Nov,1998 Nov- 2 to Nov- 6,1998 Nov,1.84,2.1,2.11,2.26,2.25
1998 Nov,1998 Nov- 9 to Nov-13,1998 Nov,2.28,2.3,2.33,2.21,2.21
1998 Nov,1998 Nov-16 to Nov-20,1998 Nov,2.19,2.12,2.1,2.1,2.07
1998 Nov,1998 Nov-23 to Nov-27,1998 Nov,2.02,2.08,2.13,,
1998 Nov,1998 Nov-30 to Dec- 4,1998 Nov,1.63,1.41,1.4,1.21,1.05
1998 Dec,1998 Dec- 7 to Dec-11,1998 Dec,1.44,1.79,1.64,1.59,1.55
1998 Dec,1998 Dec-14 to Dec-18,1998 Dec,1.8,1.86,1.95,2.02,2.02
1998 Dec,1998 Dec-21 to Dec-25,1998 Dec,2.05,1.96,1.88,1.89,
1998 Dec,1998 Dec-28 to Jan- 1,1998 Dec,1.79,1.82,1.81,1.95,
1999 Jan,1999 Jan- 4 to Jan- 8,1999 Jan,2.1,2.05,2.04,1.91,1.9
1999 Jan,1999 Jan-11 to Jan-15,1999 Jan,1.83,1.82,1.87,1.77,1.78
1999 Jan,1999 Jan-18 to Jan-22,1999 Jan,,1.77,1.81,1.85,1.82
1999 Jan,1999 Jan-25 to Jan-29,1999 Jan,1.76,1.73,1.75,1.75,1.83
1999 Feb,1999 Feb- 1 to Feb- 5,1999 Feb,1.75,1.78,1.8,1.79,1.81
1999 Feb,1999 Feb- 8 to Feb-12,1999 Feb,1.81,1.82,1.8,1.78,1.82
1999 Feb,1999 Feb-15 to Feb-19,1999 Feb,,1.79,1.79,1.8,1.79
1999 Feb,1999 Feb-22 to Feb-26,1999 Feb,1.77,1.75,1.73,1.64,1.63
1999 Mar,1999 Mar- 1 to Mar- 5,1999 Mar,1.65,1.67,1.68,1.72,1.74
1999 Mar,1999 Mar- 8 to Mar-12,1999 Mar,1.87,1.86,1.94,1.87,1.81
1999 Mar,1999 Mar-15 to Mar-19,1999 Mar,1.75,1.75,1.75,1.75,1.73
1999 Mar,1999 Mar-22 to Mar-26,1999 Mar,1.74,1.8,1.79,1.8,1.83
1999 Mar,1999 Mar-29 to Apr- 2,1999 Mar,1.8,1.89,2.02,1.95,
1999 Apr,1999 Apr- 5 to Apr- 9,1999 Apr,2.03,1.98,2.03,2.07,2.1
1999 Apr,1999 Apr-12 to Apr-16,1999 Apr,2.06,2.14,2.11,2.14,2.14
1999 Apr,1999 Apr-19 to Apr-23,1999 Apr,2.1,2.18,2.17,2.24,2.23
1999 Apr,1999 Apr-26 to Apr-30,1999 Apr,2.23,2.32,2.31,2.37,2.25
1999 May,1999 May- 3 to May- 7,1999 May,2.23,2.32,2.36,2.32,2.25
1999 May,1999 May-10 to May-14,1999 May,2.25,2.29,2.19,2.21,2.28
1999 May,1999 May-17 to May-21,1999 May,2.31,2.3,2.27,2.26,2.21
1999 May,1999 May-24 to May-28,1999 May,2.19,2.18,2.22,2.27,2.29
1999 May,1999 May-31 to Jun- 4,1999 May,,2.34,2.36,2.35,2.31
1999 Jun,1999 Jun- 7 to Jun-11,1999 Jun,2.41,2.38,2.39,2.37,2.3
1999 Jun,1999 Jun-14 to Jun-18,1999 Jun,2.29,2.28,2.28,2.24,2.24
1999 Jun,1999 Jun-21 to Jun-25,1999 Jun,2.22,2.23,2.25,2.26,2.27
1999 Jun,1999 Jun-28 to Jul- 2,1999 Jun,2.25,2.33,2.34,2.29,2.26
1999 Jul,1999 Jul- 5 to Jul- 9,1999 Jul,,2.29,2.2,2.19,2.17
1999 Jul,1999 Jul-12 to Jul-16,1999 Jul,2.12,2.14,2.16,2.12,2.18
1999 Jul,1999 Jul-19 to Jul-23,1999 Jul,2.2,2.24,2.25,2.32,2.42
1999 Jul,1999 Jul-26 to Jul-30,1999 Jul,2.55,2.55,2.58,2.67,2.55
1999 Aug,1999 Aug- 2 to Aug- 6,1999 Aug,2.51,2.61,2.64,2.69,2.69
1999 Aug,1999 Aug- 9 to Aug-13,1999 Aug,2.73,2.77,2.79,2.73,2.71
1999 Aug,1999 Aug-16 to Aug-20,1999 Aug,2.73,2.7,2.75,2.87,2.97
1999 Aug,1999 Aug-23 to Aug-27,1999 Aug,2.95,3.01,3.1,2.97,2.87
1999 Aug,1999 Aug-30 to Sep- 3,1999 Aug,2.85,2.84,2.71,2.56,2.47
1999 Sep,1999 Sep- 6 to Sep-10,1999 Sep,,2.56,2.66,2.75,2.84
1999 Sep,1999 Sep-13 to Sep-17,1999 Sep,2.8,2.66,2.52,2.47,2.45
1999 Sep,1999 Sep-20 to Sep-24,1999 Sep,2.49,2.33,2.3,2.45,2.54
1999 Sep,1999 Sep-27 to Oct- 1,1999 Sep,2.51,2.52,2.57,2.31,2.39
1999 Oct,1999 Oct- 4 to Oct- 8,1999 Oct,2.49,2.45,2.48,2.49,2.35
1999 Oct,1999 Oct-11 to Oct-15,1999 Oct,2.53,2.65,2.81,2.7,2.66
1999 Oct,1999 Oct-18 to Oct-22,1999 Oct,2.82,2.89,2.9,2.99,3
1999 Oct,1999 Oct-25 to Oct-29,1999 Oct,2.98,2.96,3.02,2.97,2.76
1999 Nov,1999 Nov- 1 to Nov- 5,1999 Nov,2.73,2.81,2.82,2.75,2.62
1999 Nov,1999 Nov- 8 to Nov-12,1999 Nov,2.59,2.44,2.39,2.38,2.16
1999 Nov,1999 Nov-15 to Nov-19,1999 Nov,2.33,2.23,2.24,2.22,2.16
1999 Nov,1999 Nov-22 to Nov-26,1999 Nov,2.05,1.99,1.96,,
1999 Nov,1999 Nov-29 to Dec- 3,1999 Nov,2.25,2.22,2.17,2.18,2.16
1999 Dec,1999 Dec- 6 to Dec-10,1999 Dec,2.19,2.16,2.23,2.2,2.27
1999 Dec,1999 Dec-13 to Dec-17,1999 Dec,2.35,2.49,2.54,2.52,2.55
1999 Dec,1999 Dec-20 to Dec-24,1999 Dec,2.67,2.59,2.45,2.42,
1999 Dec,1999 Dec-27 to Dec-31,1999 Dec,2.36,2.32,2.34,2.3,
2000 Jan,2000 Jan- 3 to Jan- 7,2000 Jan,,2.16,2.17,2.18,2.19
2000 Jan,2000 Jan-10 to Jan-14,2000 Jan,2.2,2.23,2.25,2.29,2.28
2000 Jan,2000 Jan-17 to Jan-21,2000 Jan,,2.35,2.4,2.53,2.55
2000 Jan,2000 Jan-24 to Jan-28,2000 Jan,2.55,2.66,2.73,2.76,2.84
2000 Jan,2000 Jan-31 to Feb- 4,2000 Jan,2.69,2.81,2.91,2.85,2.78
2000 Feb,2000 Feb- 7 to Feb-11,2000 Feb,2.81,2.6,2.62,2.65,2.65
2000 Feb,2000 Feb-14 to Feb-18,2000 Feb,2.61,2.61,2.65,2.66,2.65
2000 Feb,2000 Feb-21 to Feb-25,2000 Feb,,2.55,2.5,2.52,2.51
2000 Feb,2000 Feb-28 to Mar- 3,2000 Feb,2.6,2.65,2.71,2.8,2.72
2000 Mar,2000 Mar- 6 to Mar-10,2000 Mar,2.76,2.78,2.74,2.69,
2000 Mar,2000 Mar-13 to Mar-17,2000 Mar,2.79,2.83,2.76,2.84,2.81
2000 Mar,2000 Mar-20 to Mar-24,2000 Mar,2.73,2.74,2.78,2.76,2.82
2000 Mar,2000 Mar-27 to Mar-31,2000 Mar,2.82,2.94,2.92,2.83,2.88
2000 Apr,2000 Apr- 3 to Apr- 7,2000 Apr,2.92,2.87,2.86,2.98,2.99
2000 Apr,2000 Apr-10 to Apr-14,2000 Apr,2.97,2.98,3.05,3.05,3.11
2000 Apr,2000 Apr-17 to Apr-21,2000 Apr,3.13,3.12,3.12,3.07,
2000 Apr,2000 Apr-24 to Apr-28,2000 Apr,3.12,3.18,3.12,3.06,3.09
2000 May,2000 May- 1 to May- 5,2000 May,3.16,3.2,3.18,3.09,3.11
2000 May,2000 May- 8 to May-12,2000 May,3.12,3.25,3.2,3.37,3.35
2000 May,2000 May-15 to May-19,2000 May,3.37,3.45,3.49,3.73,3.76
2000 May,2000 May-22 to May-26,2000 May,3.95,3.85,3.94,4.18,4.29
2000 May,2000 May-29 to Jun- 2,2000 May,,4.35,4.52,4.39,4.21
2000 Jun,2000 Jun- 5 to Jun- 9,2000 Jun,4.17,4.48,4.23,3.96,4.14
2000 Jun,2000 Jun-12 to Jun-16,2000 Jun,4.22,4.27,4.16,4.38,4.45
2000 Jun,2000 Jun-19 to Jun-23,2000 Jun,4.38,4.02,4.14,4.44,4.42
2000 Jun,2000 Jun-26 to Jun-30,2000 Jun,4.37,4.55,4.44,4.25,4.36
2000 Jul,2000 Jul- 3 to Jul- 7,2000 Jul,4.36,,4.24,4.02,4
2000 Jul,2000 Jul-10 to Jul-14,2000 Jul,4.19,4.17,4.29,4.08,4.17
2000 Jul,2000 Jul-17 to Jul-21,2000 Jul,4.13,3.99,4.07,3.86,3.88
2000 Jul,2000 Jul-24 to Jul-28,2000 Jul,3.74,3.63,3.59,3.75,3.89
2000 Jul,2000 Jul-31 to Aug- 4,2000 Jul,3.75,3.78,4.05,4.23,4.25
2000 Aug,2000 Aug- 7 to Aug-11,2000 Aug,4.39,4.46,4.48,4.43,4.44
2000 Aug,2000 Aug-14 to Aug-18,2000 Aug,4.42,4.24,4.24,4.35,4.38
2000 Aug,2000 Aug-21 to Aug-25,2000 Aug,4.6,4.8,4.67,4.53,4.55
2000 Aug,2000 Aug-28 to Sep- 1,2000 Aug,4.62,4.6,4.61,4.76,4.7
2000 Sep,2000 Sep- 4 to Sep- 8,2000 Sep,,4.81,4.89,4.85,4.74
2000 Sep,2000 Sep-11 to Sep-15,2000 Sep,4.85,4.96,5.06,5.1,5.28
2000 Sep,2000 Sep-18 to Sep-22,2000 Sep,5.06,5.22,5.24,5.16,5.16
2000 Sep,2000 Sep-25 to Sep-29,2000 Sep,5.12,5.28,5.34,5.2,5.1
2000 Oct,2000 Oct- 2 to Oct- 6,2000 Oct,5.24,5.29,5.22,5.21,5.04
2000 Oct,2000 Oct- 9 to Oct-13,2000 Oct,5.09,5.16,5.1,5.54,5.43
2000 Oct,2000 Oct-16 to Oct-20,2000 Oct,5.34,5.27,5.36,5.04,4.84
2000 Oct,2000 Oct-23 to Oct-27,2000 Oct,4.82,4.84,4.64,4.61,4.48
2000 Oct,2000 Oct-30 to Nov- 3,2000 Oct,4.56,4.37,4.4,4.5,4.64
2000 Nov,2000 Nov- 6 to Nov-10,2000 Nov,4.6,4.68,4.92,5.34,5.24
2000 Nov,2000 Nov-13 to Nov-17,2000 Nov,5.59,5.81,5.95,5.94,5.62
2000 Nov,2000 Nov-20 to Nov-24,2000 Nov,6.23,6.35,6.3,,
2000 Nov,2000 Nov-27 to Dec- 1,2000 Nov,6.24,5.9,5.93,6.31,6.53
2000 Dec,2000 Dec- 4 to Dec- 8,2000 Dec,7.41,8.03,8.75,8.48,8.13
2000 Dec,2000 Dec-11 to Dec-15,2000 Dec,9.96,8.58,7.8,7.48,8.03
2000 Dec,2000 Dec-18 to Dec-22,2000 Dec,9.28,9.11,9.95,10.49,10.48
2000 Dec,2000 Dec-25 to Dec-29,2000 Dec,,10.23,9.58,9.22,10.48
2001 Jan,2001 Jan- 1 to Jan- 5,2001 Jan,,9.97,9.71,9.45,10.03
2001 Jan,2001 Jan- 8 to Jan-12,2001 Jan,10.31,9.95,9.91,8.95,8.75
2001 Jan,2001 Jan-15 to Jan-19,2001 Jan,,8.16,7.85,7.09,7.61
2001 Jan,2001 Jan-22 to Jan-26,2001 Jan,7.7,7.02,6.81,6.81,7
2001 Jan,2001 Jan-29 to Feb- 2,2001 Jan,6.76,5.96,5.83,5.82,6.76
2001 Feb,2001 Feb- 5 to Feb- 9,2001 Feb,6.15,5.59,5.67,6.24,6.24
2001 Feb,2001 Feb-12 to Feb-16,2001 Feb,5.74,5.58,5.89,5.35,5.57
2001 Feb,2001 Feb-19 to Feb-23,2001 Feb,,5.17,5.2,5.11,5.05
2001 Feb,2001 Feb-26 to Mar- 2,2001 Feb,5.07,5.07,5.25,5.25,5.06
2001 Mar,2001 Mar- 5 to Mar- 9,2001 Mar,5.32,5.27,5.22,5.25,5.13
2001 Mar,2001 Mar-12 to Mar-16,2001 Mar,4.98,5.08,4.99,5.27,5.27
2001 Mar,2001 Mar-19 to Mar-23,2001 Mar,5.27,5.27,5.16,5.16,5.16
2001 Mar,2001 Mar-26 to Mar-30,2001 Mar,5.23,5.47,5.6,5.31,5.35
2001 Apr,2001 Apr- 2 to Apr- 6,2001 Apr,5.25,5.25,5.24,5.27,5.33
2001 Apr,2001 Apr- 9 to Apr-13,2001 Apr,5.45,5.55,5.45,5.32,
2001 Apr,2001 Apr-16 to Apr-20,2001 Apr,5.48,5.36,5.15,5.06,5
2001 Apr,2001 Apr-23 to Apr-27,2001 Apr,5.09,5.13,4.98,4.92,4.83
2001 Apr,2001 Apr-30 to May- 4,2001 Apr,4.73,4.55,4.54,4.46,4.5
2001 May,2001 May- 7 to May-11,2001 May,4.33,4.22,4.15,4.17,4.25
2001 May,2001 May-14 to May-18,2001 May,4.28,4.46,4.46,4.2,4.15
2001 May,2001 May-21 to May-25,2001 May,4.14,4.04,4.11,4.12,3.83
2001 May,2001 May-28 to Jun- 1,2001 May,,3.86,3.66,3.73,3.7
2001 Jun,2001 Jun- 4 to Jun- 8,2001 Jun,3.98,3.93,3.76,3.68,3.62
2001 Jun,2001 Jun-11 to Jun-15,2001 Jun,3.91,4.05,4.13,3.92,3.86
2001 Jun,2001 Jun-18 to Jun-22,2001 Jun,3.91,3.96,3.83,3.69,3.68
2001 Jun,2001 Jun-25 to Jun-29,2001 Jun,3.56,3.46,3.39,3.2,2.91
2001 Jul,2001 Jul- 2 to Jul- 6,2001 Jul,2.92,3,,3.09,2.99
2001 Jul,2001 Jul- 9 to Jul-13,2001 Jul,3.1,3.2,3.21,3.29,3.15
2001 Jul,2001 Jul-16 to Jul-20,2001 Jul,3.08,3.14,3.15,3.01,2.97
