Month,Week Of,Month,Mon,Tue,Wed,Thu,Fri
2015 Mar,2015 Mar-16 to Mar-20,2015 Mar,2.68,2.82,2.8,2.86,2.86
2015 Mar,2015 Mar-23 to Mar-27,2015 Mar,2.72,2.79,2.77,2.77,2.89
2015 Mar,2015 Mar-30 to Apr- 3,2015 Mar,2.64,2.65,2.62,2.63,
2015 Apr,2015 Apr- 6 to Apr-10,2015 Apr,2.63,2.71,2.71,2.72,2.58
2015 Apr,2015 Apr-13 to Apr-17,2015 Apr,2.58,2.58,2.62,2.61,2.67
2015 Apr,2015 Apr-20 to Apr-24,2015 Apr,2.57,2.59,2.63,2.59,2.59
2015 Apr,2015 Apr-27 to May- 1,2015 Apr,2.5,2.55,2.55,2.56,2.68
2015 May,2015 May- 4 to May- 8,2015 May,2.72,2.76,2.76,2.74,2.78
2015 May,2015 May-11 to May-15,2015 May,2.85,2.85,2.85,2.87,2.96
2015 May,2015 May-18 to May-22,2015 May,3.01,3.01,3.04,2.96,2.96
2015 May,2015 May-25 to May-29,2015 May,,2.82,2.82,2.78,2.78
2015 Jun,2015 Jun- 1 to Jun- 5,2015 Jun,2.78,2.63,2.65,2.6,2.6
2015 Jun,2015 Jun- 8 to Jun-12,2015 Jun,2.6,2.72,2.81,2.88,2.88
2015 Jun,2015 Jun-15 to Jun-19,2015 Jun,2.89,2.94,2.93,2.93,2.81
2015 Jun,2015 Jun-22 to Jun-26,2015 Jun,2.79,2.83,2.83,2.8,2.77
2015 Jun,2015 Jun-29 to Jul- 3,2015 Jun,2.77,2.8,2.78,2.79,2.79
2015 Jul,2015 Jul- 6 to Jul-10,2015 Jul,2.79,2.77,2.77,2.7,2.7
2015 Jul,2015 Jul-13 to Jul-17,2015 Jul,2.88,2.88,2.93,2.9,2.88
2015 Jul,2015 Jul-20 to Jul-24,2015 Jul,2.88,2.84,2.84,2.92,2.92
2015 Jul,2015 Jul-27 to Jul-31,2015 Jul,2.92,2.89,2.91,2.87,2.76
2015 Aug,2015 Aug- 3 to Aug- 7,2015 Aug,2.76,2.83,2.85,2.76,2.76
2015 Aug,2015 Aug-10 to Aug-14,2015 Aug,2.85,2.84,2.93,2.93,2.83
2015 Aug,2015 Aug-17 to Aug-21,2015 Aug,2.79,2.71,2.77,2.77,2.7
2015 Aug,2015 Aug-24 to Aug-28,2015 Aug,2.65,2.71,2.73,2.69,2.69
2015 Aug,2015 Aug-31 to Sep- 4,2015 Aug,2.7,2.7,2.7,2.67,2.67
2015 Sep,2015 Sep- 7 to Sep-11,2015 Sep,2.67,2.74,2.74,2.71,2.67
2015 Sep,2015 Sep-14 to Sep-18,2015 Sep,2.7,2.74,2.69,2.69,2.69
2015 Sep,2015 Sep-21 to Sep-25,2015 Sep,2.61,2.61,2.62,2.62,2.6
2015 Sep,2015 Sep-28 to Oct- 2,2015 Sep,2.66,2.57,2.47,2.37,2.37
2015 Oct,2015 Oct- 5 to Oct- 9,2015 Oct,2.34,2.35,2.35,2.35,2.49
2015 Oct,2015 Oct-12 to Oct-16,2015 Oct,2.48,2.47,2.47,2.54,2.42
2015 Oct,2015 Oct-19 to Oct-23,2015 Oct,2.43,2.46,2.37,2.37,2.28
2015 Oct,2015 Oct-26 to Oct-30,2015 Oct,2.18,2.14,2.14,2.15,1.98
2015 Nov,2015 Nov- 2 to Nov- 6,2015 Nov,1.92,1.92,2.04,2.04,2.19
2015 Nov,2015 Nov- 9 to Nov-13,2015 Nov,2.19,2.14,2.13,2.05,2.02
2015 Nov,2015 Nov-16 to Nov-20,2015 Nov,2.02,2.05,2.1,2.1,2.18
2015 Nov,2015 Nov-23 to Nov-27,2015 Nov,2.18,2.14,2.14,2.14,2.14
2015 Nov,2015 Nov-30 to Dec- 4,2015 Nov,2.11,2.11,2.19,2.14,2.1
2015 Dec,2015 Dec- 7 to Dec-11,2015 Dec,2.06,2.01,2,1.95,1.79
2015 Dec,2015 Dec-14 to Dec-18,2015 Dec,1.7,1.66,1.7,1.79,1.74
2015 Dec,2015 Dec-21 to Dec-25,2015 Dec,1.76,1.73,1.63,1.63,1.63
2015 Dec,2015 Dec-28 to Jan- 1,2015 Dec,2.11,2.39,2.28,2.28,2.28
2016 Jan,2016 Jan- 4 to Jan- 8,2016 Jan,2.39,2.33,2.37,2.35,2.47
2016 Jan,2016 Jan-11 to Jan-15,2016 Jan,2.54,2.4,2.28,2.21,2.18
2016 Jan,2016 Jan-18 to Jan-22,2016 Jan,2.18,2.23,2.18,2.22,2.21
2016 Jan,2016 Jan-25 to Jan-29,2016 Jan,2.16,2.26,2.26,2.15,2.28
2016 Feb,2016 Feb- 1 to Feb- 5,2016 Feb,2.28,2.07,2.06,2.07,2.08
2016 Feb,2016 Feb- 8 to Feb-12,2016 Feb,2.23,2.17,2.16,2.15,2.08
2016 Feb,2016 Feb-15 to Feb-19,2016 Feb,2.08,1.95,1.93,1.89,1.83
2016 Feb,2016 Feb-22 to Feb-26,2016 Feb,1.86,1.85,1.85,1.78,1.78
2016 Feb,2016 Feb-29 to Mar- 4,2016 Feb,1.62,1.57,1.6,1.59,1.49
2016 Mar,2016 Mar- 7 to Mar-11,2016 Mar,1.56,1.6,1.61,1.72,1.74
2016 Mar,2016 Mar-14 to Mar-18,2016 Mar,1.68,1.81,1.77,1.84,1.84
2016 Mar,2016 Mar-21 to Mar-25,2016 Mar,1.79,1.79,1.79,1.78,1.78
2016 Mar,2016 Mar-28 to Apr- 1,2016 Mar,1.78,1.77,1.87,1.98,1.88
2016 Apr,2016 Apr- 4 to Apr- 8,2016 Apr,1.96,1.96,1.91,1.96,1.99
2016 Apr,2016 Apr-11 to Apr-15,2016 Apr,1.9,1.97,2.01,1.93,1.71
2016 Apr,2016 Apr-18 to Apr-22,2016 Apr,1.76,1.94,1.94,1.96,1.92
2016 Apr,2016 Apr-25 to Apr-29,2016 Apr,1.97,1.97,1.88,1.88,1.89
2016 May,2016 May- 2 to May- 6,2016 May,1.91,1.94,2.03,2.05,1.86
2016 May,2016 May- 9 to May-13,2016 May,2.01,2.01,2.01,2.01,1.96
2016 May,2016 May-16 to May-20,2016 May,1.91,1.97,1.91,1.83,1.81
2016 May,2016 May-23 to May-27,2016 May,1.96,1.91,1.77,1.77,1.77
2016 May,2016 May-30 to Jun- 3,2016 May,1.77,2.12,2.25,2.3,2.31
2016 Jun,2016 Jun- 6 to Jun-10,2016 Jun,2.32,2.32,2.36,2.34,2.46
2016 Jun,2016 Jun-13 to Jun-17,2016 Jun,2.55,2.55,2.62,2.62,2.59
2016 Jun,2016 Jun-20 to Jun-24,2016 Jun,2.74,2.79,2.82,2.69,2.71
2016 Jun,2016 Jun-27 to Jul- 1,2016 Jun,2.79,2.89,2.94,2.94,2.89
2016 Jul,2016 Jul- 4 to Jul- 8,2016 Jul,2.89,2.82,2.82,2.78,2.8
2016 Jul,2016 Jul-11 to Jul-15,2016 Jul,2.88,2.88,2.81,2.79,2.7
2016 Jul,2016 Jul-18 to Jul-22,2016 Jul,2.83,2.83,2.76,2.76,2.8
2016 Jul,2016 Jul-25 to Jul-29,2016 Jul,2.8,2.84,2.84,2.79,2.97
2016 Aug,2016 Aug- 1 to Aug- 5,2016 Aug,2.97,2.79,2.89,2.89,2.88
2016 Aug,2016 Aug- 8 to Aug-12,2016 Aug,2.85,2.85,2.76,2.7,2.7
2016 Aug,2016 Aug-15 to Aug-19,2016 Aug,2.75,2.75,2.76,2.75,2.67
2016 Aug,2016 Aug-22 to Aug-26,2016 Aug,2.75,2.75,2.82,2.89,2.91
2016 Aug,2016 Aug-29 to Sep- 2,2016 Aug,2.97,2.95,2.95,2.95,2.88
2016 Sep,2016 Sep- 5 to Sep- 9,2016 Sep,2.88,2.88,2.77,2.88,2.93
2016 Sep,2016 Sep-12 to Sep-16,2016 Sep,3.04,3.04,3.07,2.98,2.97
2016 Sep,2016 Sep-19 to Sep-23,2016 Sep,3,3.12,3.19,3.18,3.06
2016 Sep,2016 Sep-26 to Sep-30,2016 Sep,3.06,3.09,3.07,2.98,2.84
2016 Oct,2016 Oct- 3 to Oct- 7,2016 Oct,2.84,2.83,2.83,3.04,3.02
2016 Oct,2016 Oct-10 to Oct-14,2016 Oct,3.18,3.17,3.17,3.16,3.18
2016 Oct,2016 Oct-17 to Oct-21,2016 Oct,3.21,3.25,3.18,3.12,2.92
2016 Oct,2016 Oct-24 to Oct-28,2016 Oct,2.78,2.69,2.69,2.72,2.72
2016 Oct,2016 Oct-31 to Nov- 4,2016 Oct,2.85,2.53,2.53,2.41,2.2
2016 Nov,2016 Nov- 7 to Nov-11,2016 Nov,2.37,2.34,2.22,2.08,2.08
2016 Nov,2016 Nov-14 to Nov-18,2016 Nov,2.26,2.49,2.49,2.37,2.6
2016 Nov,2016 Nov-21 to Nov-25,2016 Nov,2.81,2.73,2.76,2.76,2.76
2016 Nov,2016 Nov-28 to Dec- 2,2016 Nov,2.96,3.02,3.32,3.32,3.44
2016 Dec,2016 Dec- 5 to Dec- 9,2016 Dec,3.44,3.75,3.8,3.68,3.75
2016 Dec,2016 Dec-12 to Dec-16,2016 Dec,3.6,3.65,3.55,3.56,3.51
2016 Dec,2016 Dec-19 to Dec-23,2016 Dec,3.55,3.39,3.5,3.5,3.6
2016 Dec,2016 Dec-26 to Dec-30,2016 Dec,3.6,3.7,3.7,3.71,3.71
2017 Jan,2017 Jan- 2 to Jan- 6,2017 Jan,3.71,3.41,3.42,3.42,3.38
2017 Jan,2017 Jan- 9 to Jan-13,2017 Jan,3.14,3.21,3.27,3.36,3.36
2017 Jan,2017 Jan-16 to Jan-20,2017 Jan,3.36,3.37,3.26,3.25,3.23
2017 Jan,2017 Jan-23 to Jan-27,2017 Jan,3.16,3.16,3.26,3.44,3.31
2017 Jan,2017 Jan-30 to Feb- 3,2017 Jan,3.22,3,3.15,3.13,3.13
2017 Feb,2017 Feb- 6 to Feb-10,2017 Feb,2.92,3.03,3.05,3.11,3.11
2017 Feb,2017 Feb-13 to Feb-17,2017 Feb,2.93,2.85,2.95,2.88,2.75
2017 Feb,2017 Feb-20 to Feb-24,2017 Feb,2.75,2.56,2.52,2.63,2.63
2017 Feb,2017 Feb-27 to Mar- 3,2017 Feb,2.44,2.54,2.54,2.59,2.5
2017 Mar,2017 Mar- 6 to Mar-10,2017 Mar,2.68,2.68,2.59,2.83,2.98
2017 Mar,2017 Mar-13 to Mar-17,2017 Mar,3.04,3.02,3.02,2.84,2.85
2017 Mar,2017 Mar-20 to Mar-24,2017 Mar,2.93,3.09,3.02,2.93,2.97
2017 Mar,2017 Mar-27 to Mar-31,2017 Mar,2.94,2.95,3.03,3.08,3.13
2017 Apr,2017 Apr- 3 to Apr- 7,2017 Apr,3.13,3.06,3.22,3.23,3.23
2017 Apr,2017 Apr-10 to Apr-14,2017 Apr,3.15,3.11,2.97,3,3
2017 Apr,2017 Apr-17 to Apr-21,2017 Apr,3.09,3.11,3.11,3.13,3.06
2017 Apr,2017 Apr-24 to Apr-28,2017 Apr,3.06,2.99,3.06,3.13,3.2
2017 May,2017 May- 1 to May- 5,2017 May,3.2,3.13,3.14,3.11,3.1
2017 May,2017 May- 8 to May-12,2017 May,3.06,3.03,3.03,3.23,3.24
2017 May,2017 May-15 to May-19,2017 May,3.26,3.27,3.27,3.13,3.11
2017 May,2017 May-22 to May-26,2017 May,3.24,3.22,3.22,3.1,3.1
2017 May,2017 May-29 to Jun- 2,2017 May,3.1,3.1,3.05,3.05,2.85
2017 Jun,2017 Jun- 5 to Jun- 9,2017 Jun,2.92,2.92,3.06,2.98,3.03
2017 Jun,2017 Jun-12 to Jun-16,2017 Jun,3.12,3.12,2.95,2.94,3.01
2017 Jun,2017 Jun-19 to Jun-23,2017 Jun,2.87,2.91,2.91,2.88,2.89
2017 Jun,2017 Jun-26 to Jun-30,2017 Jun,2.98,2.99,3.03,3.07,2.98
2017 Jul,2017 Jul- 3 to Jul- 7,2017 Jul,2.98,2.98,2.98,2.89,2.91
2017 Jul,2017 Jul-10 to Jul-14,2017 Jul,2.92,2.98,3.01,2.96,2.94
2017 Jul,2017 Jul-17 to Jul-21,2017 Jul,3.04,3.11,3.11,3.12,3.06
2017 Jul,2017 Jul-24 to Jul-28,2017 Jul,2.99,2.99,2.92,2.95,2.96
2017 Jul,2017 Jul-31 to Aug- 4,2017 Jul,2.87,2.8,2.8,2.76,2.76
2017 Aug,2017 Aug- 7 to Aug-11,2017 Aug,2.8,2.81,2.81,2.89,2.96
2017 Aug,2017 Aug-14 to Aug-18,2017 Aug,3.02,2.96,2.94,2.91,2.9
2017 Aug,2017 Aug-21 to Aug-25,2017 Aug,3,3,2.94,2.97,2.93
2017 Aug,2017 Aug-28 to Sep- 1,2017 Aug,2.95,2.95,2.95,2.92,2.88
2017 Sep,2017 Sep- 4 to Sep- 8,2017 Sep,2.88,2.88,2.98,2.92,2.88
2017 Sep,2017 Sep-11 to Sep-15,2017 Sep,2.88,2.88,3.02,3.03,3
2017 Sep,2017 Sep-18 to Sep-22,2017 Sep,3.11,3.18,3.13,3.11,2.93
2017 Sep,2017 Sep-25 to Sep-29,2017 Sep,2.96,2.96,2.98,2.96,2.94
2017 Oct,2017 Oct- 2 to Oct- 6,2017 Oct,2.94,2.73,2.8,2.8,2.93
2017 Oct,2017 Oct- 9 to Oct-13,2017 Oct,2.87,2.89,2.89,2.95,2.99
2017 Oct,2017 Oct-16 to Oct-20,2017 Oct,2.87,2.88,2.81,2.83,2.8
2017 Oct,2017 Oct-23 to Oct-27,2017 Oct,2.95,2.95,2.98,2.91,2.78
2017 Oct,2017 Oct-30 to Nov- 3,2017 Oct,2.94,2.84,2.68,2.68,2.75
2017 Nov,2017 Nov- 6 to Nov-10,2017 Nov,3.01,3.07,3.16,3.18,3.17
2017 Nov,2017 Nov-13 to Nov-17,2017 Nov,3.13,3.06,3.16,3.09,3.04
2017 Nov,2017 Nov-20 to Nov-24,2017 Nov,3.04,3.05,3.05,3.05,3.05
2017 Nov,2017 Nov-27 to Dec- 1,2017 Nov,2.88,2.88,3.06,3.06,2.84
2017 Dec,2017 Dec- 4 to Dec- 8,2017 Dec,2.91,2.86,2.86,2.81,2.78
2017 Dec,2017 Dec-11 to Dec-15,2017 Dec,2.81,2.87,2.87,2.69,2.6
2017 Dec,2017 Dec-18 to Dec-22,2017 Dec,2.71,2.75,2.72,2.64,2.63
2017 Dec,2017 Dec-25 to Dec-29,2017 Dec,,2.68,2.76,2.97,3.69
2018 Jan,2018 Jan- 1 to Jan- 5,2018 Jan,,6.24,6.24,4.65,NA
2018 Jan,2018 Jan- 8 to Jan-12,2018 Jan,2.89,2.93,3.16,3.16,4.06
2018 Jan,2018 Jan-15 to Jan-19,2018 Jan,,5.46,3.92,3.92,3.2
2018 Jan,2018 Jan-22 to Jan-26,2018 Jan,3.13,3.35,3.54,3.54,3.58
2018 Jan,2018 Jan-29 to Feb- 2,2018 Jan,3.6,3.6,3.34,3.06,2.91
2018 Feb,2018 Feb- 5 to Feb- 9,2018 Feb,2.85,2.75,2.74,2.74,2.66
2018 Feb,2018 Feb-12 to Feb-16,2018 Feb,2.6,2.58,2.53,2.49,2.49
2018 Feb,2018 Feb-19 to Feb-23,2018 Feb,,2.61,2.65,2.65,2.58
2018 Feb,2018 Feb-26 to Mar- 2,2018 Feb,2.6,2.59,2.66,2.67,2.67
2018 Mar,2018 Mar- 5 to Mar- 9,2018 Mar,2.7,2.7,2.8,2.8,2.71
2018 Mar,2018 Mar-12 to Mar-16,2018 Mar,2.78,2.76,2.69,2.7,2.62
2018 Mar,2018 Mar-19 to Mar-23,2018 Mar,2.62,2.71,2.74,2.62,2.58
2018 Mar,2018 Mar-26 to Mar-30,2018 Mar,2.63,2.6,2.64,2.81,
2018 Apr,2018 Apr- 2 to Apr- 6,2018 Apr,2.75,2.75,2.81,2.81,2.81
2018 Apr,2018 Apr- 9 to Apr-13,2018 Apr,2.78,2.78,2.74,2.76,2.82
2018 Apr,2018 Apr-16 to Apr-20,2018 Apr,2.88,2.84,2.85,2.8,2.78
2018 Apr,2018 Apr-23 to Apr-27,2018 Apr,2.78,2.79,2.81,2.81,2.82
2018 Apr,2018 Apr-30 to May- 4,2018 Apr,2.75,2.75,2.77,2.75,2.75
2018 May,2018 May- 7 to May-11,2018 May,2.74,2.77,2.75,2.78,2.75
2018 May,2018 May-14 to May-18,2018 May,2.84,2.83,2.85,2.75,2.75
2018 May,2018 May-21 to May-25,2018 May,2.77,2.76,2.89,2.88,2.88
2018 May,2018 May-28 to Jun- 1,2018 May,,2.84,2.83,2.94,2.91
2018 Jun,2018 Jun- 4 to Jun- 8,2018 Jun,2.89,2.89,2.89,3.02,2.91
2018 Jun,2018 Jun-11 to Jun-15,2018 Jun,3,2.98,2.98,2.99,3.02
2018 Jun,2018 Jun-18 to Jun-22,2018 Jun,2.99,2.95,2.96,3.08,2.95
2018 Jun,2018 Jun-25 to Jun-29,2018 Jun,2.96,2.98,3.01,2.99,2.96
2018 Jul,2018 Jul- 2 to Jul- 6,2018 Jul,2.9,2.9,,2.91,2.91
2018 Jul,2018 Jul- 9 to Jul-13,2018 Jul,2.9,2.9,2.89,2.89,2.86
2018 Jul,2018 Jul-16 to Jul-20,2018 Jul,2.76,2.81,2.8,2.75,2.79
2018 Jul,2018 Jul-23 to Jul-27,2018 Jul,2.79,2.73,2.82,2.82,2.78
2018 Jul,2018 Jul-30 to Aug- 3,2018 Jul,2.75,2.82,2.8,2.77,2.86
2018 Aug,2018 Aug- 6 to Aug-10,2018 Aug,2.85,2.95,2.99,3.02,2.96
2018 Aug,2018 Aug-13 to Aug-17,2018 Aug,2.92,3.02,3.02,3.02,3.01
2018 Aug,2018 Aug-20 to Aug-24,2018 Aug,3.04,3.01,3.02,3.01,2.99
2018 Aug,2018 Aug-27 to Aug-31,2018 Aug,2.98,2.98,2.96,2.96,2.98
2018 Sep,2018 Sep- 3 to Sep- 7,2018 Sep,,2.96,3,2.93,2.88
2018 Sep,2018 Sep-10 to Sep-14,2018 Sep,2.9,2.94,2.98,2.94,2.91
2018 Sep,2018 Sep-17 to Sep-21,2018 Sep,2.95,3,3.11,3.07,3.02
2018 Sep,2018 Sep-24 to Sep-28,2018 Sep,3.04,3.12,3.1,3.05,3.01
2018 Oct,2018 Oct- 1 to Oct- 5,2018 Oct,3.13,3.14,3.26,3.39,3.25
2018 Oct,2018 Oct- 8 to Oct-12,2018 Oct,3.28,3.4,3.45,3.16,3.19
2018 Oct,2018 Oct-15 to Oct-19,2018 Oct,3.26,3.27,3.3,3.28,3.2
2018 Oct,2018 Oct-22 to Oct-26,2018 Oct,3.2,3.28,3.42,3.42,3.27
2018 Oct,2018 Oct-29 to Nov- 2,2018 Oct,3.2,3.27,3.31,3.36,3.26
2018 Nov,2018 Nov- 5 to Nov- 9,2018 Nov,3.53,3.53,3.54,3.54,3.74
2018 Nov,2018 Nov-12 to Nov-16,2018 Nov,3.96,4.1,4.1,4.69,4.3
2018 Nov,2018 Nov-19 to Nov-23,2018 Nov,4.65,4.65,4.7,,
2018 Nov,2018 Nov-26 to Nov-30,2018 Nov,4.28,4.28,4.5,4.5,4.61
2018 Dec,2018 Dec- 3 to Dec- 7,2018 Dec,4.4,4.4,4.69,4.44,4.51
2018 Dec,2018 Dec-10 to Dec-14,2018 Dec,4.54,4.53,4.53,4.31,3.99
2018 Dec,2018 Dec-17 to Dec-21,2018 Dec,3.8,3.8,3.64,3.7,3.7
2018 Dec,2018 Dec-24 to Dec-28,2018 Dec,,,3.42,3.1,3.25
2018 Dec,2018 Dec-31 to Jan- 4,2018 Dec,,,3.25,2.72,2.8
2019 Jan,2019 Jan- 7 to Jan-11,2019 Jan,2.74,2.89,2.92,2.95,2.95
2019 Jan,2019 Jan-14 to Jan-18,2019 Jan,3.36,3.54,3.58,3.58,3.43
2019 Jan,2019 Jan-21 to Jan-25,2019 Jan,,3.43,3.13,3.13,3.07
2019 Jan,2019 Jan-28 to Feb- 1,2019 Jan,3.05,2.94,3,2.82,2.7
2019 Feb,2019 Feb- 4 to Feb- 8,2019 Feb,2.57,2.54,2.58,2.62,2.66
2019 Feb,2019 Feb-11 to Feb-15,2019 Feb,2.76,2.71,2.61,2.61,2.59
2019 Feb,2019 Feb-18 to Feb-22,2019 Feb,,2.69,2.69,2.73,2.74
2019 Feb,2019 Feb-25 to Mar- 1,2019 Feb,2.84,2.74,2.89,2.89,3.19
2019 Mar,2019 Mar- 4 to Mar- 8,2019 Mar,4.25,3.18,3.18,2.9,2.9
2019 Mar,2019 Mar-11 to Mar-15,2019 Mar,2.86,2.83,2.87,2.95,2.95
2019 Mar,2019 Mar-18 to Mar-22,2019 Mar,2.9,2.92,2.86,2.86,2.75
2019 Mar,2019 Mar-25 to Mar-29,2019 Mar,2.72,2.74,2.69,2.69,2.73
2019 Apr,2019 Apr- 1 to Apr- 5,2019 Apr,2.73,2.76,2.74,2.66,2.62
2019 Apr,2019 Apr- 8 to Apr-12,2019 Apr,2.72,2.71,2.72,2.72,2.75
2019 Apr,2019 Apr-15 to Apr-19,2019 Apr,2.75,2.66,2.55,2.54,
2019 Apr,2019 Apr-22 to Apr-26,2019 Apr,2.61,2.53,2.53,2.54,2.58
2019 Apr,2019 Apr-29 to May- 3,2019 Apr,2.58,2.59,2.59,2.63,2.59
2019 May,2019 May- 6 to May-10,2019 May,2.54,2.54,2.64,2.62,2.64
2019 May,2019 May-13 to May-17,2019 May,2.71,2.7,2.69,2.62,2.61
2019 May,2019 May-20 to May-24,2019 May,2.7,2.73,2.73,2.56,2.6
2019 May,2019 May-27 to May-31,2019 May,,2.65,2.69,2.69,2.59
2019 Jun,2019 Jun- 3 to Jun- 7,2019 Jun,2.5,2.45,2.45,2.4,2.43
2019 Jun,2019 Jun-10 to Jun-14,2019 Jun,2.42,2.41,2.43,2.43,2.37
2019 Jun,2019 Jun-17 to Jun-21,2019 Jun,2.46,2.44,2.43,2.38,2.27
2019 Jun,2019 Jun-24 to Jun-28,2019 Jun,2.31,2.31,2.34,2.32,2.42
2019 Jul,2019 Jul- 1 to Jul- 5,2019 Jul,2.33,2.3,2.29,,
2019 Jul,2019 Jul- 8 to Jul-12,2019 Jul,2.39,2.41,2.49,2.54,2.54
2019 Jul,2019 Jul-15 to Jul-19,2019 Jul,2.53,2.53,2.44,2.38,2.3
2019 Jul,2019 Jul-22 to Jul-26,2019 Jul,2.33,2.34,2.33,2.26,2.23
2019 Jul,2019 Jul-29 to Aug- 2,2019 Jul,2.23,2.22,2.28,2.36,2.12
2019 Aug,2019 Aug- 5 to Aug- 9,2019 Aug,2.02,2.15,2.18,2.13,2.09
2019 Aug,2019 Aug-12 to Aug-16,2019 Aug,2.21,2.24,2.22,2.19,2.2
2019 Aug,2019 Aug-19 to Aug-23,2019 Aug,2.26,2.35,2.31,2.28,2.15
2019 Aug,2019 Aug-26 to Aug-30,2019 Aug,2.23,2.24,2.24,2.36,2.33
2019 Sep,2019 Sep- 2 to Sep- 6,2019 Sep,,2.39,2.48,2.49,2.49
2019 Sep,2019 Sep- 9 to Sep-13,2019 Sep,2.65,2.67,2.63,2.62,2.61
2019 Sep,2019 Sep-16 to Sep-20,2019 Sep,2.75,2.7,2.72,2.65,2.34
2019 Sep,2019 Sep-23 to Sep-27,2019 Sep,2.55,2.55,2.54,2.57,2.41
2019 Sep,2019 Sep-30 to Oct- 4,,2.37,,,,